"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
"3,5,4",12,3,"sse","tanh","rprop+",0.78,0.92,0.000172410771046887,0.79,0.86,0.83,101
"3,3,2",8,3,"sse","tanh","rprop+",0.78,0.91,0.000524647597832629,0.81,0.77,0.79,101
"5,2,4",11,3,"sse","tanh","rprop+",0.78,0.91,0.000524647597832629,0.81,0.77,0.79,101
"3,1,1",5,3,"sse","tanh","rprop+",0.78,0.91,0.000524647597832629,0.74,0.91,0.82,101
"3",3,1,"sse","tanh","rprop+",0.78,0.93,5.00058913574146e-05,0.83,0.86,0.84,101
"5,3,1",9,3,"sse","tanh","rprop+",0.78,0.9,0.00142708726544572,0.83,0.68,0.75,101
"2,1",3,2,"sse","tanh","rprop+",0.78,0.91,0.000524647597832629,0.76,0.86,0.81,101
"2,2,1,2",7,4,"sse","tanh","rprop+",0.78,0.91,0.000524647597832629,0.78,0.82,0.8,101
"4,2",6,2,"sse","tanh","rprop+",0.78,0.9,0.00142708726544572,0.73,0.86,0.79,101
"4,4,4,3",15,4,"sse","tanh","rprop+",0.78,0.89,0.00350612548703537,0.69,0.91,0.78,101
"5,2,3",10,3,"sse","tanh","rprop+",0.78,0.88,0.00784842050681118,0.69,0.82,0.75,101
"4,4",8,2,"sse","tanh","rprop+",0.78,0.92,0.000172410771046887,0.82,0.82,0.82,101
"5,4,4,5",18,4,"sse","tanh","rprop+",0.78,0.85,0.0540249987995393,0.63,0.77,0.69,101
"1,5",6,2,"sse","tanh","rprop+",0.78,0.91,0.000524647597832629,0.81,0.77,0.79,101
"3,3,1",7,3,"sse","tanh","rprop+",0.78,0.91,0.000524647597832629,0.78,0.82,0.8,101
"3,2",5,2,"sse","tanh","rprop+",0.78,0.91,0.000524647597832629,0.81,0.77,0.79,101
"1",1,1,"sse","tanh","rprop+",0.78,0.91,0.000524647597832629,0.81,0.77,0.79,101
