"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
"3,5,4",12,3,"sse","tanh","rprop+",0.66,0.64,0.703472867361491,0.69,0.85,0.76,101
"5,2,4",11,3,"sse","tanh","rprop+",0.66,0.68,0.380110091779873,0.72,0.87,0.78,101
"3,1,1",5,3,"sse","tanh","rprop+",0.66,0.62,0.82863916113254,0.69,0.78,0.73,101
"3",3,1,"sse","tanh","rprop+",0.66,0.68,0.380110091779873,0.71,0.88,0.79,101
"5,3,1",9,3,"sse","tanh","rprop+",0.66,0.61,0.875921653140661,0.68,0.78,0.73,101
"2,1",3,2,"sse","tanh","rprop+",0.66,0.62,0.82863916113254,0.68,0.81,0.74,101
"4,2",6,2,"sse","tanh","rprop+",0.66,0.66,0.546402528208042,0.7,0.87,0.77,101
"4,4,4,3",15,4,"sse","tanh","rprop+",0.66,0.61,0.875921653140661,0.68,0.78,0.73,101
"5,2,3",10,3,"sse","tanh","rprop+",0.66,0.58,0.96154780297734,0.67,0.73,0.7,101
"4,4",8,2,"sse","tanh","rprop+",0.66,0.67,0.462640412081263,0.72,0.84,0.77,101
"3,3,1",7,3,"sse","tanh","rprop+",0.66,0.62,0.82863916113254,0.69,0.79,0.74,101
"3,2",5,2,"sse","tanh","rprop+",0.66,0.72,0.122473816053799,0.72,0.94,0.82,101
"1",1,1,"sse","tanh","rprop+",0.66,0.66,0.546402528208042,0.7,0.87,0.77,101
"5,4,2",11,3,"sse","tanh","rprop+",0.66,0.65,0.627771441016916,0.71,0.81,0.76,101
"3,2,3",8,3,"sse","tanh","rprop+",0.66,0.68,0.380110091779873,0.71,0.88,0.79,101
"2",2,1,"sse","tanh","rprop+",0.66,0.67,0.462640412081263,0.7,0.9,0.78,101
"2,1,1,1",5,4,"sse","tanh","rprop+",0.66,0.62,0.82863916113254,0.68,0.81,0.74,101
"4,2,3",9,3,"sse","tanh","rprop+",0.66,0.63,0.770959818640841,0.7,0.79,0.74,101
"4,4,4",12,3,"sse","tanh","rprop+",0.66,0.68,0.380110091779873,0.72,0.87,0.78,101
"3,4",7,2,"sse","tanh","rprop+",0.66,0.72,0.122473816053799,0.73,0.91,0.81,101
"2,4",6,2,"sse","tanh","rprop+",0.66,0.63,0.770959818640841,0.69,0.82,0.75,101
"5,4,3,2",14,4,"sse","tanh","rprop+",0.66,0.63,0.770959818640841,0.7,0.78,0.74,101
"2,1,1,5",9,4,"sse","tanh","rprop+",0.66,0.7,0.232260576646812,0.71,0.94,0.81,101
"5,2,1",8,3,"sse","tanh","rprop+",0.66,0.65,0.627771441016916,0.7,0.85,0.77,101
"2,3,2,4",11,4,"sse","tanh","rprop+",0.66,0.67,0.462640412081263,0.7,0.88,0.78,101
"1,2",3,2,"sse","tanh","rprop+",0.66,0.68,0.380110091779873,0.71,0.9,0.79,101
"3,3,5,4",15,4,"sse","tanh","rprop+",0.66,0.56,0.985202513151013,0.67,0.69,0.68,101
"5,1,4",10,3,"sse","tanh","rprop+",0.66,0.69,0.302328958708104,0.73,0.85,0.79,101
"2,4,3,4",13,4,"sse","tanh","rprop+",0.66,0.73,0.0837233448800301,0.73,0.94,0.82,101
