"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
"3,5,4",12,3,"sse","tanh","rprop+",0.54,0.73,7.87694863356873e-05,0.69,0.74,0.72,101
"3,3,2",8,3,"sse","tanh","rprop+",0.54,0.74,3.27826532330174e-05,0.75,0.65,0.7,101
"5,2,4",11,3,"sse","tanh","rprop+",0.54,0.76,4.89166869601651e-06,0.78,0.67,0.72,101
"3,1,1",5,3,"sse","tanh","rprop+",0.54,0.79,1.89710941577619e-07,0.86,0.65,0.74,101
"3",3,1,"sse","tanh","rprop+",0.54,0.77,1.74855843685868e-06,0.78,0.7,0.74,101
"5,3,1",9,3,"sse","tanh","rprop+",0.54,0.76,4.89166869601651e-06,0.82,0.61,0.7,101
"2,1",3,2,"sse","tanh","rprop+",0.54,0.76,4.89166869601651e-06,0.78,0.67,0.72,101
"2,2,1,2",7,4,"sse","tanh","rprop+",0.54,0.78,5.9223024787085e-07,0.82,0.67,0.74,101
"4,2",6,2,"sse","tanh","rprop+",0.54,0.76,4.89166869601651e-06,0.79,0.65,0.71,101
"4,4,4,3",15,4,"sse","tanh","rprop+",0.54,0.79,1.89710941577619e-07,0.78,0.76,0.77,101
"4,4",8,2,"sse","tanh","rprop+",0.54,0.73,7.87694863356873e-05,0.81,0.54,0.65,101
"5,4,4,5",18,4,"sse","tanh","rprop+",0.54,0.73,7.87694863356873e-05,0.74,0.63,0.68,101
"1,5",6,2,"sse","tanh","rprop+",0.54,0.77,1.74855843685868e-06,0.83,0.63,0.72,101
"3,3,1",7,3,"sse","tanh","rprop+",0.54,0.75,1.2988320723607e-05,0.76,0.67,0.71,101
"3,2",5,2,"sse","tanh","rprop+",0.54,0.79,1.89710941577619e-07,0.82,0.7,0.75,101
"1",1,1,"sse","tanh","rprop+",0.54,0.77,1.74855843685868e-06,0.87,0.59,0.7,101
"5,4,2",11,3,"sse","tanh","rprop+",0.54,0.72,0.00018041830444055,0.7,0.67,0.69,101
"3,2,3",8,3,"sse","tanh","rprop+",0.54,0.78,5.9223024787085e-07,0.85,0.63,0.72,101
"2",2,1,"sse","tanh","rprop+",0.54,0.76,4.89166869601651e-06,0.79,0.65,0.71,101
"2,1,1,1",5,4,"sse","tanh","rprop+",0.54,0.78,5.9223024787085e-07,0.85,0.63,0.72,101
"4,2,3",9,3,"sse","tanh","rprop+",0.54,0.74,3.27826532330174e-05,0.74,0.67,0.7,101
"2,2",4,2,"sse","tanh","rprop+",0.54,0.78,5.9223024787085e-07,0.82,0.67,0.74,101
"3,4",7,2,"sse","tanh","rprop+",0.54,0.76,4.89166869601651e-06,0.76,0.7,0.73,101
"2,4",6,2,"sse","tanh","rprop+",0.54,0.77,1.74855843685868e-06,0.79,0.67,0.73,101
"5,4,3,2",14,4,"sse","tanh","rprop+",0.54,0.71,0.000394422524626212,0.69,0.67,0.68,101
"2,1,1,5",9,4,"sse","tanh","rprop+",0.54,0.79,1.89710941577619e-07,0.84,0.67,0.75,101
"5,2,1",8,3,"sse","tanh","rprop+",0.54,0.76,4.89166869601651e-06,0.76,0.7,0.73,101
"2,3,2,4",11,4,"sse","tanh","rprop+",0.54,0.77,1.74855843685868e-06,0.83,0.63,0.72,101
"1,2",3,2,"sse","tanh","rprop+",0.54,0.78,5.9223024787085e-07,0.88,0.61,0.72,101
"5,1,4",10,3,"sse","tanh","rprop+",0.54,0.76,4.89166869601651e-06,0.79,0.65,0.71,101
"2,4,3,4",13,4,"sse","tanh","rprop+",0.54,0.73,7.87694863356873e-05,0.76,0.61,0.67,101
"4",4,1,"sse","tanh","rprop+",0.54,0.78,5.9223024787085e-07,0.82,0.67,0.74,101
"1,1,4,3",9,4,"sse","tanh","rprop+",0.54,0.78,5.9223024787085e-07,0.88,0.61,0.72,101
"2,2,5",9,3,"sse","tanh","rprop+",0.54,0.78,5.9223024787085e-07,0.76,0.76,0.76,101
"3,3,4,3",13,4,"sse","tanh","rprop+",0.54,0.75,1.2988320723607e-05,0.74,0.7,0.72,101
"5",5,1,"sse","tanh","rprop+",0.54,0.77,1.74855843685868e-06,0.79,0.67,0.73,101
"1,2,1",4,3,"sse","tanh","rprop+",0.54,0.78,5.9223024787085e-07,0.88,0.61,0.72,101
"3,2,2",7,3,"sse","tanh","rprop+",0.54,0.74,3.27826532330174e-05,0.72,0.72,0.72,101
"3,3,2,1",9,4,"sse","tanh","rprop+",0.54,0.75,1.2988320723607e-05,0.77,0.65,0.71,101
"2,4,3",9,3,"sse","tanh","rprop+",0.54,0.77,1.74855843685868e-06,0.78,0.7,0.74,101
"3,2,5,4",14,4,"sse","tanh","rprop+",0.54,0.76,4.89166869601651e-06,0.76,0.7,0.73,101
"4,3,3,4",14,4,"sse","tanh","rprop+",0.54,0.76,4.89166869601651e-06,0.82,0.61,0.7,101
"1,1",2,2,"sse","tanh","rprop+",0.54,0.79,1.89710941577619e-07,0.88,0.63,0.73,101
"4,3",7,2,"sse","tanh","rprop+",0.54,0.76,4.89166869601651e-06,0.78,0.67,0.72,101
"3,3,3",9,3,"sse","tanh","rprop+",0.54,0.78,5.9223024787085e-07,0.79,0.72,0.75,101
"1,5,3,4",13,4,"sse","tanh","rprop+",0.54,0.73,7.87694863356873e-05,0.76,0.61,0.67,101
"2,3,2",7,3,"sse","tanh","rprop+",0.54,0.76,4.89166869601651e-06,0.78,0.67,0.72,101
"5,3,2",10,3,"sse","tanh","rprop+",0.54,0.76,4.89166869601651e-06,0.79,0.65,0.71,101
"2,2,4,1",9,4,"sse","tanh","rprop+",0.54,0.76,4.89166869601651e-06,0.75,0.72,0.73,101
"4,5,2",11,3,"sse","tanh","rprop+",0.54,0.74,3.27826532330174e-05,0.75,0.65,0.7,101
"4,1",5,2,"sse","tanh","rprop+",0.54,0.78,5.9223024787085e-07,0.79,0.72,0.75,101
"4,3,4",11,3,"sse","tanh","rprop+",0.54,0.72,0.00018041830444055,0.71,0.65,0.68,101
"2,5,5",12,3,"sse","tanh","rprop+",0.54,0.76,4.89166869601651e-06,0.75,0.72,0.73,101
"3,4,3",10,3,"sse","tanh","rprop+",0.54,0.72,0.00018041830444055,0.7,0.67,0.69,101
"1,2,2",5,3,"sse","tanh","rprop+",0.54,0.77,1.74855843685868e-06,0.87,0.59,0.7,101
"2,3",5,2,"sse","tanh","rprop+",0.54,0.76,4.89166869601651e-06,0.76,0.7,0.73,101
"5,2",7,2,"sse","tanh","rprop+",0.54,0.77,1.74855843685868e-06,0.78,0.7,0.74,101
"5,1",6,2,"sse","tanh","rprop+",0.54,0.75,1.2988320723607e-05,0.74,0.7,0.72,101
"5,3",8,2,"sse","tanh","rprop+",0.54,0.7,0.000823987359326159,0.67,0.67,0.67,101
"1,3,3",7,3,"sse","tanh","rprop+",0.54,0.77,1.74855843685868e-06,0.87,0.59,0.7,101
"4,2,3,2",11,4,"sse","tanh","rprop+",0.54,0.74,3.27826532330174e-05,0.76,0.63,0.69,101
"5,4",9,2,"sse","tanh","rprop+",0.54,0.73,7.87694863356873e-05,0.73,0.65,0.69,101
"1,2,3,2",8,4,"sse","tanh","rprop+",0.54,0.68,0.00315227800703593,0.61,0.83,0.7,101
"3,1,3,5",12,4,"sse","tanh","rprop+",0.54,0.7,0.000823987359326159,0.62,0.87,0.73,101
"1,4,3",8,3,"sse","tanh","rprop+",0.54,0.79,1.89710941577619e-07,0.88,0.63,0.73,101
"1,4,4",9,3,"sse","tanh","rprop+",0.54,0.78,5.9223024787085e-07,0.83,0.65,0.73,101
