"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","accuracy","precision","recall","f1"
"3,5,4",12,3,"sse","tanh","rprop+",0.93,0.74,0.88,0.8
"3,3,2",8,3,"sse","tanh","rprop+",0.91,0.73,0.8,0.76
"3,1,1",5,3,"sse","tanh","rprop+",0.93,0.77,0.88,0.82
"3",3,1,"sse","tanh","rprop+",0.93,0.82,0.78,0.8
"5,3,1",9,3,"sse","tanh","rprop+",0.91,0.68,0.93,0.79
"2,1",3,2,"sse","tanh","rprop+",0.93,0.78,0.82,0.8
"2,2,1,2",7,4,"sse","tanh","rprop+",0.93,0.82,0.78,0.8
"4,2",6,2,"sse","tanh","rprop+",0.93,0.8,0.8,0.8
"4,4,4,3",15,4,"sse","tanh","rprop+",0.94,0.82,0.82,0.82
"4,4",8,2,"sse","tanh","rprop+",0.93,0.77,0.82,0.79
"5,4,4,5",18,4,"sse","tanh","rprop+",0.94,0.81,0.83,0.82
"1,5",6,2,"sse","tanh","rprop+",0.93,0.81,0.78,0.8
"3,3,1",7,3,"sse","tanh","rprop+",0.93,0.77,0.83,0.8
"3,2",5,2,"sse","tanh","rprop+",0.93,0.78,0.82,0.8
"1",1,1,"sse","tanh","rprop+",0.93,0.8,0.78,0.79
"5,4,2",11,3,"sse","tanh","rprop+",0.93,0.76,0.85,0.8
"4,4",8,2,"sse","tanh","rprop+",0.93,0.8,0.8,0.8
"3,2,3",8,3,"sse","tanh","rprop+",0.93,0.8,0.78,0.79
"2",2,1,"sse","tanh","rprop+",0.93,0.77,0.83,0.8
"2,1,1,1",5,4,"sse","tanh","rprop+",0.93,0.81,0.77,0.79
"4,2,3",9,3,"sse","tanh","rprop+",0.91,0.8,0.67,0.73
"4,4,4",12,3,"sse","tanh","rprop+",0.92,0.75,0.8,0.77
"2,2",4,2,"sse","tanh","rprop+",0.92,0.75,0.82,0.78
"3,4",7,2,"sse","tanh","rprop+",0.93,0.8,0.78,0.79
"2,4",6,2,"sse","tanh","rprop+",0.93,0.84,0.77,0.8
"5,4,3,2",14,4,"sse","tanh","rprop+",0.92,0.75,0.82,0.78
"2,1,1,5",9,4,"sse","tanh","rprop+",0.94,0.81,0.83,0.82
"5,2,1",8,3,"sse","tanh","rprop+",0.93,0.8,0.8,0.8
"4,2",6,2,"sse","tanh","rprop+",0.92,0.74,0.82,0.78
"2,3,2,4",11,4,"sse","tanh","rprop+",0.94,0.82,0.82,0.82
"1,2",3,2,"sse","tanh","rprop+",0.93,0.8,0.78,0.79
"4,4",8,2,"sse","tanh","rprop+",0.93,0.79,0.82,0.8
"3",3,1,"sse","tanh","rprop+",0.92,0.78,0.77,0.77
"4",4,1,"sse","tanh","rprop+",0.92,0.77,0.77,0.77
"1,1,4,3",9,4,"sse","tanh","rprop+",0.93,0.81,0.78,0.8
"1,2",3,2,"sse","tanh","rprop+",0.93,0.8,0.78,0.79
"2,2,5",9,3,"sse","tanh","rprop+",0.92,0.79,0.75,0.77
"3,3,4,3",13,4,"sse","tanh","rprop+",0.93,0.78,0.78,0.78
"2,2",4,2,"sse","tanh","rprop+",0.93,0.81,0.77,0.79
"3",3,1,"sse","tanh","rprop+",0.93,0.8,0.78,0.79
"5",5,1,"sse","tanh","rprop+",0.94,0.81,0.85,0.83
"1,2,1",4,3,"sse","tanh","rprop+",0.93,0.8,0.78,0.79
"3,2,2",7,3,"sse","tanh","rprop+",0.94,0.82,0.82,0.82
"3,3,2,1",9,4,"sse","tanh","rprop+",0.93,0.8,0.78,0.79
"2,4,3",9,3,"sse","tanh","rprop+",0.93,0.81,0.78,0.8
"2,2,5",9,3,"sse","tanh","rprop+",0.93,0.8,0.78,0.79
"3,2,5,4",14,4,"sse","tanh","rprop+",0.91,0.74,0.72,0.73
"1,1",2,2,"sse","tanh","rprop+",0.93,0.81,0.78,0.8
"4,3",7,2,"sse","tanh","rprop+",0.92,0.76,0.8,0.78
"3,3,3",9,3,"sse","tanh","rprop+",0.94,0.78,0.88,0.83
"1,5,3,4",13,4,"sse","tanh","rprop+",0.93,0.8,0.78,0.79
"2",2,1,"sse","tanh","rprop+",0.93,0.81,0.8,0.81
"2,3,2",7,3,"sse","tanh","rprop+",0.93,0.8,0.78,0.79
"4,2",6,2,"sse","tanh","rprop+",0.93,0.8,0.8,0.8
"3,2",5,2,"sse","tanh","rprop+",0.92,0.77,0.77,0.77
"3",3,1,"sse","tanh","rprop+",0.93,0.78,0.78,0.78
"2,1",3,2,"sse","tanh","rprop+",0.93,0.78,0.78,0.78
"4,4,4",12,3,"sse","tanh","rprop+",0.92,0.75,0.82,0.78
"3,4",7,2,"sse","tanh","rprop+",0.93,0.82,0.77,0.79
"3,3,2",8,3,"sse","tanh","rprop+",0.94,0.83,0.8,0.81
"5,3,2",10,3,"sse","tanh","rprop+",0.93,0.78,0.82,0.8
"3,2,4,1",10,4,"sse","tanh","rprop+",0.91,0.8,0.67,0.73
"2,2,4,1",9,4,"sse","tanh","rprop+",0.94,0.83,0.8,0.81
"4,5,2",11,3,"sse","tanh","rprop+",0.91,0.71,0.85,0.77
"4,5,4,4",17,4,"sse","tanh","rprop+",0.92,0.78,0.77,0.77
"4,1",5,2,"sse","tanh","rprop+",0.93,0.79,0.8,0.79
"4",4,1,"sse","tanh","rprop+",0.92,0.74,0.85,0.79
"4,3,4",11,3,"sse","tanh","rprop+",0.93,0.77,0.85,0.81
"2,5,5",12,3,"sse","tanh","rprop+",0.93,0.8,0.82,0.81
"2,2",4,2,"sse","tanh","rprop+",0.93,0.8,0.8,0.8
"4",4,1,"sse","tanh","rprop+",0.92,0.77,0.77,0.77
"3,4,3",10,3,"sse","tanh","rprop+",0.94,0.83,0.8,0.81
"1,2,2",5,3,"sse","tanh","rprop+",0.93,0.81,0.78,0.8
"2,3",5,2,"sse","tanh","rprop+",0.93,0.77,0.82,0.79
"4,1,4,3",12,4,"sse","tanh","rprop+",0.93,0.77,0.83,0.8
"5,2",7,2,"sse","tanh","rprop+",0.92,0.77,0.77,0.77
"1",1,1,"sse","tanh","rprop+",0.93,0.8,0.78,0.79
"5,1",6,2,"sse","tanh","rprop+",0.93,0.79,0.83,0.81
"5,1,4",10,3,"sse","tanh","rprop+",0.93,0.81,0.77,0.79
"5,3",8,2,"sse","tanh","rprop+",0.92,0.77,0.78,0.78
"1,3,3",7,3,"sse","tanh","rprop+",0.93,0.81,0.78,0.8
"3,4",7,2,"sse","tanh","rprop+",0.93,0.79,0.83,0.81
"4,2,3,2",11,4,"sse","tanh","rprop+",0.93,0.81,0.8,0.81
"2",2,1,"sse","tanh","rprop+",0.94,0.83,0.8,0.81
"2,4",6,2,"sse","tanh","rprop+",0.93,0.82,0.77,0.79
"2,1",3,2,"sse","tanh","rprop+",0.93,0.82,0.78,0.8
"5,4",9,2,"sse","tanh","rprop+",0.93,0.8,0.82,0.81
"2,3,2",7,3,"sse","tanh","rprop+",0.93,0.81,0.8,0.81
