"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","accuracy","precision","recall","f1"
"3,5,4",12,3,"sse","tanh","rprop+",0.87,0.62,0.68,0.65
"3,3,2",8,3,"sse","tanh","rprop+",0.91,0.73,0.73,0.73
"3,1,1",5,3,"sse","tanh","rprop+",0.9,0.74,0.67,0.7
"3",3,1,"sse","tanh","rprop+",0.9,0.69,0.72,0.7
"5,3,1",9,3,"sse","tanh","rprop+",0.89,0.67,0.77,0.71
"2,1",3,2,"sse","tanh","rprop+",0.89,0.68,0.67,0.67
"4,4,4,3",15,4,"sse","tanh","rprop+",0.9,0.73,0.68,0.71
"4,4",8,2,"sse","tanh","rprop+",0.89,0.69,0.7,0.69
"5,4,4,5",18,4,"sse","tanh","rprop+",0.89,0.68,0.63,0.66
"1,5",6,2,"sse","tanh","rprop+",0.89,0.67,0.67,0.67
"3,3,1",7,3,"sse","tanh","rprop+",0.89,0.69,0.68,0.69
"3,2",5,2,"sse","tanh","rprop+",0.89,0.68,0.67,0.67
"1",1,1,"sse","tanh","rprop+",0.89,0.68,0.67,0.67
"5,4,2",11,3,"sse","tanh","rprop+",0.89,0.66,0.68,0.67
"4,4",8,2,"sse","tanh","rprop+",0.9,0.69,0.72,0.7
"3,2,3",8,3,"sse","tanh","rprop+",0.89,0.69,0.7,0.69
"2",2,1,"sse","tanh","rprop+",0.89,0.67,0.67,0.67
"2,1,1,1",5,4,"sse","tanh","rprop+",0.89,0.67,0.68,0.68
"4,2,3",9,3,"sse","tanh","rprop+",0.89,0.67,0.65,0.66
"4,4,4",12,3,"sse","tanh","rprop+",0.89,0.67,0.67,0.67
"2,2",4,2,"sse","tanh","rprop+",0.9,0.71,0.68,0.69
"3,4",7,2,"sse","tanh","rprop+",0.9,0.69,0.75,0.72
"2,4",6,2,"sse","tanh","rprop+",0.89,0.68,0.68,0.68
"5,2,1",8,3,"sse","tanh","rprop+",0.89,0.69,0.68,0.69
"4,2",6,2,"sse","tanh","rprop+",0.89,0.67,0.67,0.67
"2,3,2,4",11,4,"sse","tanh","rprop+",0.89,0.69,0.63,0.66
"1,2",3,2,"sse","tanh","rprop+",0.89,0.68,0.67,0.67
"4,4",8,2,"sse","tanh","rprop+",0.89,0.69,0.68,0.69
"5,1,4",10,3,"sse","tanh","rprop+",0.89,0.69,0.7,0.69
"3",3,1,"sse","tanh","rprop+",0.89,0.67,0.67,0.67
"2,4,3,4",13,4,"sse","tanh","rprop+",0.89,0.68,0.7,0.69
"4",4,1,"sse","tanh","rprop+",0.91,0.72,0.77,0.74
"1,1,4,3",9,4,"sse","tanh","rprop+",0.89,0.68,0.68,0.68
"1,2",3,2,"sse","tanh","rprop+",0.89,0.68,0.67,0.67
"2,2,5",9,3,"sse","tanh","rprop+",0.89,0.67,0.65,0.66
"2,2",4,2,"sse","tanh","rprop+",0.9,0.7,0.77,0.73
"3",3,1,"sse","tanh","rprop+",0.89,0.67,0.65,0.66
"5",5,1,"sse","tanh","rprop+",0.91,0.71,0.77,0.74
"1,2,1",4,3,"sse","tanh","rprop+",0.88,0.66,0.67,0.66
"3,2,2",7,3,"sse","tanh","rprop+",0.89,0.67,0.65,0.66
"3,3,2,1",9,4,"sse","tanh","rprop+",0.87,0.62,0.63,0.63
"2,2,5",9,3,"sse","tanh","rprop+",0.9,0.68,0.75,0.71
"3,2,5,4",14,4,"sse","tanh","rprop+",0.88,0.65,0.67,0.66
"1,1",2,2,"sse","tanh","rprop+",0.88,0.66,0.67,0.66
"4,3",7,2,"sse","tanh","rprop+",0.89,0.7,0.63,0.67
"3,3,3",9,3,"sse","tanh","rprop+",0.89,0.68,0.67,0.67
"1,5,3,4",13,4,"sse","tanh","rprop+",0.88,0.63,0.67,0.65
"2",2,1,"sse","tanh","rprop+",0.89,0.67,0.65,0.66
"2,3,2",7,3,"sse","tanh","rprop+",0.89,0.67,0.65,0.66
"4,2",6,2,"sse","tanh","rprop+",0.88,0.62,0.72,0.67
"3,2",5,2,"sse","tanh","rprop+",0.89,0.68,0.72,0.7
"3",3,1,"sse","tanh","rprop+",0.9,0.7,0.73,0.72
"2,1",3,2,"sse","tanh","rprop+",0.89,0.67,0.67,0.67
"4,4,4",12,3,"sse","tanh","rprop+",0.88,0.66,0.67,0.66
"3,4",7,2,"sse","tanh","rprop+",0.87,0.63,0.63,0.63
"3,3,2",8,3,"sse","tanh","rprop+",0.89,0.69,0.7,0.69
"5,3,2",10,3,"sse","tanh","rprop+",0.89,0.68,0.65,0.67
"3,2,4,1",10,4,"sse","tanh","rprop+",0.87,0.67,0.47,0.55
"4,1",5,2,"sse","tanh","rprop+",0.92,0.76,0.75,0.76
"4",4,1,"sse","tanh","rprop+",0.9,0.7,0.72,0.71
"4,3,4",11,3,"sse","tanh","rprop+",0.87,0.63,0.6,0.62
"2,5,5",12,3,"sse","tanh","rprop+",0.89,0.68,0.7,0.69
"2,2",4,2,"sse","tanh","rprop+",0.89,0.67,0.67,0.67
"4",4,1,"sse","tanh","rprop+",0.89,0.68,0.7,0.69
"3,4,3",10,3,"sse","tanh","rprop+",0.89,0.67,0.68,0.68
"1,2,2",5,3,"sse","tanh","rprop+",0.88,0.66,0.67,0.66
"2,3",5,2,"sse","tanh","rprop+",0.89,0.68,0.67,0.67
"5,2",7,2,"sse","tanh","rprop+",0.88,0.68,0.6,0.64
"1",1,1,"sse","tanh","rprop+",0.89,0.68,0.67,0.67
"5,1",6,2,"sse","tanh","rprop+",0.89,0.69,0.7,0.69
"5,1,4",10,3,"sse","tanh","rprop+",0.88,0.64,0.68,0.66
"5,3",8,2,"sse","tanh","rprop+",0.89,0.7,0.62,0.65
"3,4",7,2,"sse","tanh","rprop+",0.89,0.68,0.65,0.67
"2",2,1,"sse","tanh","rprop+",0.89,0.67,0.68,0.68
"2,4",6,2,"sse","tanh","rprop+",0.88,0.63,0.68,0.66
"2,1",3,2,"sse","tanh","rprop+",0.89,0.67,0.65,0.66
"5,4",9,2,"sse","tanh","rprop+",0.9,0.7,0.72,0.71
"2,3,2",7,3,"sse","tanh","rprop+",0.91,0.76,0.73,0.75
"1,2,3,2",8,4,"sse","tanh","rprop+",0.89,0.67,0.65,0.66
"3,5,3",11,3,"sse","tanh","rprop+",0.9,0.71,0.73,0.72
"1,4,3",8,3,"sse","tanh","rprop+",0.89,0.68,0.7,0.69
"1,4,4",9,3,"sse","tanh","rprop+",0.89,0.68,0.7,0.69
