"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","accuracy","precision","recall","f1"
"3,5,4",12,3,"sse","tanh","rprop+",0.78,0.77,0.74,0.76
"3,1,1",5,3,"sse","tanh","rprop+",0.8,0.82,0.74,0.78
"3",3,1,"sse","tanh","rprop+",0.8,0.8,0.77,0.78
"2,1",3,2,"sse","tanh","rprop+",0.8,0.81,0.74,0.78
"4,2",6,2,"sse","tanh","rprop+",0.78,0.77,0.77,0.77
"4,4",8,2,"sse","tanh","rprop+",0.75,0.74,0.74,0.74
"1,5",6,2,"sse","tanh","rprop+",0.76,0.75,0.75,0.75
"3,3,1",7,3,"sse","tanh","rprop+",0.78,0.81,0.71,0.76
"3,2",5,2,"sse","tanh","rprop+",0.79,0.81,0.74,0.77
"1",1,1,"sse","tanh","rprop+",0.8,0.86,0.68,0.76
"4,4",8,2,"sse","tanh","rprop+",0.78,0.77,0.75,0.76
"2",2,1,"sse","tanh","rprop+",0.79,0.78,0.77,0.77
"2,1,1,1",5,4,"sse","tanh","rprop+",0.78,0.79,0.74,0.76
"2,2",4,2,"sse","tanh","rprop+",0.79,0.78,0.77,0.78
"3,4",7,2,"sse","tanh","rprop+",0.78,0.77,0.76,0.77
"2,4",6,2,"sse","tanh","rprop+",0.79,0.79,0.77,0.78
"2,1,1,5",9,4,"sse","tanh","rprop+",0.8,0.86,0.68,0.76
"4,2",6,2,"sse","tanh","rprop+",0.79,0.79,0.75,0.77
"1,2",3,2,"sse","tanh","rprop+",0.8,0.86,0.68,0.76
"4,4",8,2,"sse","tanh","rprop+",0.78,0.81,0.7,0.75
"3",3,1,"sse","tanh","rprop+",0.78,0.78,0.75,0.77
"2,4,3,4",13,4,"sse","tanh","rprop+",0.8,0.81,0.74,0.77
"4",4,1,"sse","tanh","rprop+",0.78,0.79,0.73,0.76
"1,1,4,3",9,4,"sse","tanh","rprop+",0.78,0.83,0.68,0.75
"1,2",3,2,"sse","tanh","rprop+",0.8,0.86,0.69,0.76
"2,2",4,2,"sse","tanh","rprop+",0.79,0.82,0.72,0.76
"3",3,1,"sse","tanh","rprop+",0.79,0.78,0.77,0.78
"5",5,1,"sse","tanh","rprop+",0.79,0.78,0.77,0.78
"1,2,1",4,3,"sse","tanh","rprop+",0.8,0.86,0.68,0.76
"3,3,2,1",9,4,"sse","tanh","rprop+",0.78,0.78,0.75,0.77
"1,1",2,2,"sse","tanh","rprop+",0.8,0.86,0.68,0.76
"4,3",7,2,"sse","tanh","rprop+",0.78,0.79,0.73,0.76
"2",2,1,"sse","tanh","rprop+",0.79,0.79,0.76,0.78
"4,2",6,2,"sse","tanh","rprop+",0.78,0.78,0.74,0.76
"3,2",5,2,"sse","tanh","rprop+",0.77,0.74,0.78,0.76
"3",3,1,"sse","tanh","rprop+",0.79,0.78,0.77,0.78
"2,1",3,2,"sse","tanh","rprop+",0.78,0.79,0.73,0.76
"4,4,4",12,3,"sse","tanh","rprop+",0.79,0.79,0.74,0.77
"3,4",7,2,"sse","tanh","rprop+",0.78,0.78,0.75,0.76
"3,3,2",8,3,"sse","tanh","rprop+",0.8,0.81,0.75,0.78
"5,3,2",10,3,"sse","tanh","rprop+",0.76,0.77,0.72,0.74
"3,2,4,1",10,4,"sse","tanh","rprop+",0.79,0.87,0.66,0.75
"2,2,4,1",9,4,"sse","tanh","rprop+",0.77,0.82,0.66,0.73
"4,1",5,2,"sse","tanh","rprop+",0.79,0.78,0.77,0.78
"4",4,1,"sse","tanh","rprop+",0.78,0.76,0.77,0.77
"4,3,4",11,3,"sse","tanh","rprop+",0.77,0.77,0.73,0.75
"2,5,5",12,3,"sse","tanh","rprop+",0.78,0.79,0.72,0.75
"2,2",4,2,"sse","tanh","rprop+",0.8,0.8,0.76,0.78
"4",4,1,"sse","tanh","rprop+",0.78,0.77,0.77,0.77
"3,4,3",10,3,"sse","tanh","rprop+",0.76,0.75,0.73,0.74
"1,2,2",5,3,"sse","tanh","rprop+",0.78,0.79,0.74,0.76
"2,3",5,2,"sse","tanh","rprop+",0.79,0.79,0.76,0.78
"5,2",7,2,"sse","tanh","rprop+",0.77,0.77,0.75,0.76
"1",1,1,"sse","tanh","rprop+",0.8,0.86,0.68,0.76
"5,1",6,2,"sse","tanh","rprop+",0.79,0.83,0.69,0.75
"5,3",8,2,"sse","tanh","rprop+",0.78,0.78,0.74,0.76
"1,3,3",7,3,"sse","tanh","rprop+",0.79,0.79,0.74,0.77
"3,4",7,2,"sse","tanh","rprop+",0.79,0.8,0.74,0.77
"2",2,1,"sse","tanh","rprop+",0.79,0.78,0.77,0.77
"2,4",6,2,"sse","tanh","rprop+",0.78,0.77,0.76,0.77
"2,1",3,2,"sse","tanh","rprop+",0.8,0.81,0.75,0.78
"2,3,2",7,3,"sse","tanh","rprop+",0.8,0.86,0.69,0.76
"3,5,3",11,3,"sse","tanh","rprop+",0.8,0.82,0.73,0.77
