"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","accuracy","precision","recall","f1"
"3,5,4",12,3,"sse","tanh","rprop+",0.75,0.75,0.9,0.82
"3,3,2",8,3,"sse","tanh","rprop+",0.65,0.67,0.87,0.75
"3,1,1",5,3,"sse","tanh","rprop+",0.71,0.72,0.88,0.79
"3",3,1,"sse","tanh","rprop+",0.71,0.73,0.85,0.78
"5,3,1",9,3,"sse","tanh","rprop+",0.68,0.72,0.78,0.75
"2,1",3,2,"sse","tanh","rprop+",0.74,0.72,0.97,0.82
"2,2,1,2",7,4,"sse","tanh","rprop+",0.73,0.74,0.88,0.8
"4,2",6,2,"sse","tanh","rprop+",0.69,0.69,0.9,0.78
"4,4",8,2,"sse","tanh","rprop+",0.71,0.7,0.93,0.8
"5,4,4,5",18,4,"sse","tanh","rprop+",0.67,0.68,0.87,0.76
"1,5",6,2,"sse","tanh","rprop+",0.69,0.68,0.95,0.79
"3,3,1",7,3,"sse","tanh","rprop+",0.71,0.71,0.9,0.79
"3,2",5,2,"sse","tanh","rprop+",0.72,0.69,0.98,0.81
"1",1,1,"sse","tanh","rprop+",0.62,0.62,1,0.77
"5,4,2",11,3,"sse","tanh","rprop+",0.66,0.66,0.95,0.78
"4,4",8,2,"sse","tanh","rprop+",0.69,0.68,0.93,0.79
"3,2,3",8,3,"sse","tanh","rprop+",0.68,0.72,0.8,0.76
"2",2,1,"sse","tanh","rprop+",0.67,0.7,0.82,0.75
"2,1,1,1",5,4,"sse","tanh","rprop+",0.73,0.71,0.95,0.81
"4,2,3",9,3,"sse","tanh","rprop+",0.69,0.7,0.87,0.78
"4,4,4",12,3,"sse","tanh","rprop+",0.69,0.71,0.83,0.77
"2,2",4,2,"sse","tanh","rprop+",0.59,0.67,0.68,0.68
"3,4",7,2,"sse","tanh","rprop+",0.7,0.72,0.85,0.78
"2,4",6,2,"sse","tanh","rprop+",0.7,0.72,0.85,0.78
"5,4,3,2",14,4,"sse","tanh","rprop+",0.68,0.7,0.83,0.76
"2,1,1,5",9,4,"sse","tanh","rprop+",0.62,0.62,1,0.77
"5,2,1",8,3,"sse","tanh","rprop+",0.68,0.67,0.95,0.79
"4,2",6,2,"sse","tanh","rprop+",0.75,0.75,0.9,0.82
"2,3,2,4",11,4,"sse","tanh","rprop+",0.74,0.72,0.97,0.82
"1,2",3,2,"sse","tanh","rprop+",0.62,0.62,1,0.77
"3,3,5,4",15,4,"sse","tanh","rprop+",0.64,0.63,0.98,0.77
"4,4",8,2,"sse","tanh","rprop+",0.73,0.71,0.95,0.81
"3",3,1,"sse","tanh","rprop+",0.73,0.72,0.93,0.81
"2,4,3,4",13,4,"sse","tanh","rprop+",0.66,0.7,0.8,0.74
"4",4,1,"sse","tanh","rprop+",0.7,0.72,0.85,0.78
"1,1,4,3",9,4,"sse","tanh","rprop+",0.62,0.62,1,0.77
"1,2",3,2,"sse","tanh","rprop+",0.62,0.62,1,0.77
"2,2,5",9,3,"sse","tanh","rprop+",0.62,0.65,0.87,0.74
"3,3,4,3",13,4,"sse","tanh","rprop+",0.67,0.67,0.92,0.77
"2,2",4,2,"sse","tanh","rprop+",0.71,0.72,0.88,0.79
"3",3,1,"sse","tanh","rprop+",0.74,0.73,0.93,0.82
"5",5,1,"sse","tanh","rprop+",0.76,0.74,0.95,0.83
"1,2,1",4,3,"sse","tanh","rprop+",0.69,0.73,0.78,0.76
"3,2,2",7,3,"sse","tanh","rprop+",0.74,0.75,0.87,0.81
"2,4,3",9,3,"sse","tanh","rprop+",0.67,0.66,0.95,0.78
"2,2,5",9,3,"sse","tanh","rprop+",0.71,0.71,0.9,0.79
"3,2,5,4",14,4,"sse","tanh","rprop+",0.72,0.73,0.87,0.79
"4,3,3,4",14,4,"sse","tanh","rprop+",0.68,0.71,0.82,0.76
"1,1",2,2,"sse","tanh","rprop+",0.68,0.72,0.78,0.75
"4,3",7,2,"sse","tanh","rprop+",0.71,0.74,0.83,0.78
"2,4,2,3",11,4,"sse","tanh","rprop+",0.76,0.74,0.95,0.83
"1,5,3,4",13,4,"sse","tanh","rprop+",0.62,0.62,1,0.77
"2",2,1,"sse","tanh","rprop+",0.73,0.71,0.95,0.81
"2,3,2",7,3,"sse","tanh","rprop+",0.74,0.72,0.97,0.82
"4,2",6,2,"sse","tanh","rprop+",0.7,0.72,0.85,0.78
"3,2",5,2,"sse","tanh","rprop+",0.73,0.73,0.9,0.81
"3",3,1,"sse","tanh","rprop+",0.74,0.73,0.92,0.81
"2,1",3,2,"sse","tanh","rprop+",0.61,0.66,0.8,0.72
"4,4,4",12,3,"sse","tanh","rprop+",0.74,0.75,0.87,0.81
"3,4",7,2,"sse","tanh","rprop+",0.73,0.71,0.97,0.82
"3,3,2",8,3,"sse","tanh","rprop+",0.73,0.72,0.93,0.81
"5,3,2",10,3,"sse","tanh","rprop+",0.75,0.72,0.97,0.83
"3,2,4,1",10,4,"sse","tanh","rprop+",0.62,0.62,1,0.77
"2,2,4,1",9,4,"sse","tanh","rprop+",0.68,0.7,0.85,0.77
"4,5,2",11,3,"sse","tanh","rprop+",0.64,0.68,0.78,0.73
"4,5,4,4",17,4,"sse","tanh","rprop+",0.64,0.67,0.83,0.74
"4,1",5,2,"sse","tanh","rprop+",0.72,0.71,0.92,0.8
"4",4,1,"sse","tanh","rprop+",0.77,0.74,0.97,0.84
"2,5,5",12,3,"sse","tanh","rprop+",0.57,0.63,0.78,0.7
"2,2",4,2,"sse","tanh","rprop+",0.74,0.72,0.97,0.82
"4",4,1,"sse","tanh","rprop+",0.65,0.69,0.78,0.73
"3,4,3",10,3,"sse","tanh","rprop+",0.7,0.68,0.97,0.8
"1,2,2",5,3,"sse","tanh","rprop+",0.66,0.69,0.82,0.75
"2,3",5,2,"sse","tanh","rprop+",0.72,0.71,0.93,0.81
"4,1,4,3",12,4,"sse","tanh","rprop+",0.71,0.69,0.97,0.81
"5,2",7,2,"sse","tanh","rprop+",0.7,0.71,0.88,0.79
"1",1,1,"sse","tanh","rprop+",0.64,0.67,0.82,0.74
"5,1",6,2,"sse","tanh","rprop+",0.62,0.62,1,0.77
"5,3",8,2,"sse","tanh","rprop+",0.68,0.71,0.82,0.76
"1,3,3",7,3,"sse","tanh","rprop+",0.62,0.62,1,0.77
"3,4",7,2,"sse","tanh","rprop+",0.67,0.67,0.92,0.77
"4,2,3,2",11,4,"sse","tanh","rprop+",0.62,0.62,1,0.77
"2",2,1,"sse","tanh","rprop+",0.73,0.72,0.93,0.81
"2,4",6,2,"sse","tanh","rprop+",0.73,0.74,0.88,0.8
"2,1",3,2,"sse","tanh","rprop+",0.72,0.71,0.93,0.81
"5,4",9,2,"sse","tanh","rprop+",0.7,0.72,0.85,0.78
"2,3,2",7,3,"sse","tanh","rprop+",0.62,0.66,0.82,0.73
"3,5,3",11,3,"sse","tanh","rprop+",0.74,0.72,0.95,0.82
"3,1,3,5",12,4,"sse","tanh","rprop+",0.62,0.62,1,0.77
"1,4,3",8,3,"sse","tanh","rprop+",0.62,0.62,1,0.77
"1,4,4",9,3,"sse","tanh","rprop+",0.62,0.62,1,0.77
