"tablet.id","signs.orig.vec","signs.expand.vec","num.char","huni.chars","hrate.chars","ttr.chars","rm.chars"
"P000001","1(N01) _ 1(N01) _ TIM _ 1(N01) _ 1(N01) _ 1(N01) _ GAL~a# _ 1(N01) _ GAL~a _ UMUN2 _ 1(N01) _ DUB~a _ 1(N01) _ SUG5# _ 1(N01) _ UB","N01 _ N01 _ TIM _ N01 _ N01 _ N01 _ GAL~a _ N01 _ GAL~a _ UMUN2 _ N01 _ DUB~a _ N01 _ SUG5 _ N01 _ UB",16,2.0919171866887,1.90362689725099,0.4375,"0.2"
"P000002","GAL~a# _ SZITA~a1 _ ABGAL# _ 1(N01) _ GAL~a _ SILA4~b _ 1(N01) _ GAL~a _ SZAB~a","GAL~a _ SZITA~a1 _ ABGAL _ N01 _ GAL~a _ SILA4~b _ N01 _ GAL~a _ SZAB~a",9,2.41938194564637,1.54851100270528,0.666666666666667,"0"
"P000008","ISZ~b# _ NI~b _ TUR _ 1(N01) _ SAL _ ZATU750","ISZ~b _ NI~b _ TUR _ N01 _ SAL _ ZATU750",6,2.58496250072116,1.58197551605495,1,"0"
"P000009","1(N01) _ GAL~a# _ 1(N01) _ GAL~a# _ 1(N01) _ SANGA~a# _ GURUSZDA# _ 1(N01) _ 1(N01) _ GAL~a _ 1(N01) _ 1(N01)","N01 _ GAL~a _ N01 _ GAL~a _ N01 _ SANGA~a _ GURUSZDA _ N01 _ N01 _ GAL~a _ N01 _ N01",12,1.55109817100726,1.25780705908546,0.333333333333333,"0.181818181818182"
"P000010","1(N01) _ EN~a# _ NUN~a _ 1(N01) _ EN~a _ AMAR _ 1(N01) _ |SZU2.EN~a|# _ 1(N01) _ 1(N01) _ IB~a _ ZATU686~a _ 1(N01) _ 1(N01) _ 1(N01)","N01 _ EN~a _ NUN~a _ N01 _ EN~a _ AMAR _ N01 _ |SZU2.EN~a| _ N01 _ N01 _ IB~a _ ZATU686~a _ N01 _ N01 _ N01",15,2.17355726227519,1.74317315702057,0.466666666666667,"0.214285714285714"
"P000011","1(N01) _ NAM2# _ DI _ 1(N01) _ NAM2 _ NAM2 _ 1(N01) _ NAM2 _ URU~a1 _ 1(N01) _ NAM2 _ ERIN _ 1(N01) _ GAL~a _ SZUBUR# _ 1(N01) _ 1(N01) _ ABGAL# _ 1(N01) _ KINGAL# _ 1(N01) _ GAL~a _ TE _ 1(N01) _ GAL~a _ SUKKAL _ 1(N01) _ GADA~a _ SUKKAL _ 1(N01) _ GAL~a# _ GA~a# _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ AN# _ BAR# _ 1(N01) _ NU# _ A# _ 1(N01) _ AN# _ NU# _ A# _ 1(N01) _ NU# _ 1(N01) _ NU# _ GIR~a# _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ GUG2 _ 1(N01) _ 1(N01)","N01 _ NAM2 _ DI _ N01 _ NAM2 _ NAM2 _ N01 _ NAM2 _ URU~a1 _ N01 _ NAM2 _ ERIN _ N01 _ GAL~a _ SZUBUR _ N01 _ N01 _ ABGAL _ N01 _ KINGAL _ N01 _ GAL~a _ TE _ N01 _ GAL~a _ SUKKAL _ N01 _ GADA~a _ SUKKAL _ N01 _ GAL~a _ GA~a _ N01 _ N01 _ N01 _ N01 _ N01 _ N01 _ AN _ BAR _ N01 _ NU _ A _ N01 _ AN _ NU _ A _ N01 _ NU _ N01 _ NU _ GIR~a _ N01 _ N01 _ N01 _ N01 _ N01 _ GUG2 _ N01 _ N01",60,2.99870577338958,2.55911648038216,0.316666666666667,"0.203389830508475"
"P000012","1(N01) _ NIMGIR _ 1(N01) _ NIMGIR# _ SIG7 _ 1(N01) _ SUHUR _ 1(N01) _ SUHUR# _ 1(N01) _ TAR~a _ UTUL~a# _ 1(N01) _ GAL~a _ DU6~b _ 1(N01) _ KUR~a _ 1(N01) _ 1(N01)","N01 _ NIMGIR _ N01 _ NIMGIR _ SIG7 _ N01 _ SUHUR _ N01 _ SUHUR _ N01 _ TAR~a _ UTUL~a _ N01 _ GAL~a _ DU6~b _ N01 _ KUR~a _ N01 _ N01",19,2.53585777591828,2.08278628475046,0.473684210526316,"0.0555555555555556"
"P000013","1(N01) _ EN~a# _ ERIM~a _ NE~a _ NUN~a# _ ERIN# _ 1(N01) _ GAL~a# _ 1(N01) _ GAL~a#","N01 _ EN~a _ ERIM~a _ NE~a _ NUN~a _ ERIN _ N01 _ GAL~a _ N01 _ GAL~a",10,2.64643934467102,1.66131362719496,0.7,"0"
"P000014","1(N01) _ SZUBUR _ 1(N01) _ |1(N57).SZUBUR| _ 1(N01) _ |2(N57).SZUBUR| _ 1(N01) _ U4 _ SZUBUR# _ 1(N01) _ 1(N01) _ ME~a _ SZUBUR _ 1(N01) _ RAD~a@g _ SZUBUR _ 1(N01) _ KU3~a# _ SZUBUR _ 1(N01) _ ZATU686~a _ BU~a _ SZUBUR _ 1(N01) _ BU~a _ SZUBUR _ 1(N01) _ MUSZEN# _ SZUBUR# _ 1(N01) _ PAP~a _ SZUBUR# _ 1(N01) _ SZUBUR# _ 1(N01) _ NUN~a# _ SZUBUR _ 1(N01) _ KASKAL _ SZUBUR _ 1(N01) _ LAM~b _ SZUBUR _ 1(N01) _ SZUBUR _ 1(N01) _ ADAB# _ SZUBUR _ 1(N01) _ SILA4~b# _ SZUBUR _ 1(N01) _ UB _ SZUBUR _ 1(N01) _ MUSZEN _ SZUBUR _ 1(N01) _ TUM~a _ SZUBUR _ 1(N01) _ GI _ SZUBUR _ 1(N01) _ UR~a _ SZUBUR _ 1(N01) _ SZA3~a1 _ SZUBUR _ 1(N01) _ GAN2 _ SZUBUR _ 1(N01) _ SZE~a# _ SZUBUR _ 1(N01) _ GURUSZDA _ SZUBUR _ 1(N01) _ A _ SZUBUR _ 1(N01) _ SAGSZU _ SZUBUR _ 1(N01) _ BAHAR2~a _ SZUBUR _ 1(N01) _ SZUBUR _ AB2 _ 1(N01) _ SZUBUR# _ NE~a# _ 1(N01) _ SZUBUR# _ 1(N01) _ SZUBUR _ |BU~a+DU6~a| _ 1(N01) _ SZUBUR _ LAGAB~a _ 1(N01) _ SZUBUR _ GI6 _ 1(N01) _ SZUBUR# _ U4 _ 1(N01) _ BU~a _ SZUBUR _ 1(N01) _ URI3~a _ SZUBUR _ 1(N01) _ KAL~b1 _ SZUBUR _ 1(N01) _ 1(N57) _ SZUBUR _ 1(N01) _ SZUBUR _ KU6~a _ 1(N01) _ SZUBUR _ 1(N01) _ SZUBUR# _ EN~a _ 1(N01) _ SZUBUR _ SUHUR _ 1(N01) _ SZUBUR _ MU _ 1(N01) _ TE _ SZUBUR _ 1(N01) _ ZATU758 _ SZUBUR _ 1(N01) _ GAL~b# _ SZUBUR# _ 1(N01) _ BAHAR2~a _ SZUBUR _ 1(N01) _ AN _ SZUBUR _ 1(N01) _ SZUBUR _ GIR3~a _ 1(N01) _ |3(N57).SZUBUR| _ 1(N01) _ SZE3 _ SZUBUR _ 1(N01) _ NIM~a# _ 1(N01) _ SZUBUR _ 1(N01) _ SZUBUR _ MAH~a _ 5(N14) _ 8(N01)","N01 _ SZUBUR _ N01 _ |1(N57).SZUBUR| _ N01 _ |2(N57).SZUBUR| _ N01 _ U4 _ SZUBUR _ N01 _ N01 _ ME~a _ SZUBUR _ N01 _ RAD~a@g _ SZUBUR _ N01 _ KU3~a _ SZUBUR _ N01 _ ZATU686~a _ BU~a _ SZUBUR _ N01 _ BU~a _ SZUBUR _ N01 _ MUSZEN _ SZUBUR _ N01 _ PAP~a _ SZUBUR _ N01 _ SZUBUR _ N01 _ NUN~a _ SZUBUR _ N01 _ KASKAL _ SZUBUR _ N01 _ LAM~b _ SZUBUR _ N01 _ SZUBUR _ N01 _ ADAB _ SZUBUR _ N01 _ SILA4~b _ SZUBUR _ N01 _ UB _ SZUBUR _ N01 _ MUSZEN _ SZUBUR _ N01 _ TUM~a _ SZUBUR _ N01 _ GI _ SZUBUR _ N01 _ UR~a _ SZUBUR _ N01 _ SZA3~a1 _ SZUBUR _ N01 _ GAN2 _ SZUBUR _ N01 _ SZE~a _ SZUBUR _ N01 _ GURUSZDA _ SZUBUR _ N01 _ A _ SZUBUR _ N01 _ SAGSZU _ SZUBUR _ N01 _ BAHAR2~a _ SZUBUR _ N01 _ SZUBUR _ AB2 _ N01 _ SZUBUR _ NE~a _ N01 _ SZUBUR _ N01 _ SZUBUR _ |BU~a+DU6~a| _ N01 _ SZUBUR _ LAGAB~a _ N01 _ SZUBUR _ GI6 _ N01 _ SZUBUR _ U4 _ N01 _ BU~a _ SZUBUR _ N01 _ URI3~a _ SZUBUR _ N01 _ KAL~b1 _ SZUBUR _ N01 _ N57 _ SZUBUR _ N01 _ SZUBUR _ KU6~a _ N01 _ SZUBUR _ N01 _ SZUBUR _ EN~a _ N01 _ SZUBUR _ SUHUR _ N01 _ SZUBUR _ MU _ N01 _ TE _ SZUBUR _ N01 _ ZATU758 _ SZUBUR _ N01 _ GAL~b _ SZUBUR _ N01 _ BAHAR2~a _ SZUBUR _ N01 _ AN _ SZUBUR _ N01 _ SZUBUR _ GIR3~a _ N01 _ |3(N57).SZUBUR| _ N01 _ SZE3 _ SZUBUR _ N01 _ NIM~a _ N01 _ SZUBUR _ N01 _ SZUBUR _ MAH~a _ N14 N14 N14 N14 N14 _ N01 N01 N01 N01 N01 N01 N01 N01",176,3.34082750530714,3.30818221836558,0.284090909090909,"0.0685714285714286"
"P000015","1(N01)# _ DUG~b _ 1(N01) _ DUG~c _ 1(N01) _ |DUG+ASZ~c| _ 1(N01) _ UKKIN~b _ 1(N01) _ MUD3~a _ 1(N01) _ LAHTAN2# _ 1(N01) _ KISIM~b _ 1(N01) _ NI~b _ 1(N01) _ IR~b _ 1(N01) _ HI _ IR~b _ 1(N01) _ MUSZEN# _ 1(N01) _ SU~a _ NI~b _ 1(N01) _ 3(N57) _ SU~a _ NI~b _ 1(N01) _ |DUG~bxSZE~a| _ 1(N01) _ 1(N01) _ |DUG~bxKASKAL| _ 1(N01) _ KASZ~b _ 1(N01) _ |DUG~bxGESZTU~b| _ 1(N01) _ 1(N01) _ |DUG~bxNAGA~a| _ 1(N01) _ 1(N01)# _ |DUG~bxX|# _ 1(N01)# _ |DUG~bxX|# _ 1(N01)# _ |DUG~bxX|# _ 1(N01) _ |DUG~bxX|# _ 1(N01)# _ |DUG~bxX|# _ 1(N01)# _ 1(N01) _ |DUG~bxX|# _ 1(N01) _ |DUG~bxX|# _ 1(N01) _ |DUG~bxX| _ 1(N01) _ |DUG~bxGISZ| _ 1(N01) _ GISZ _ |DUG~bxGISZ| _ 1(N01) _ LA2 _ ERIM~b2 _ |DUG~bxX|# _ 1(N01) _ SIG2~d1 _ 1(N01) _ U4 _ SIG2~d1# _ 1(N01)# _ 1(N01) _ SIG2~d1 _ 1(N01) _ NI~b _ SIG2~d1 _ 1(N01) _ KU6~a _ SIG2~d1 _ 1(N01) _ SIG2~d1# _ 1(N01) _ SI _ SIG2~d1 _ 1(N01)# _ SIG2~d1 _ 1(N01)# _ SAG _ SIG2~d1 _ EZEN~a _ SIG2~d1 _ 1(N01)# _ 1(N01) _ 1(N01) _ MUD3~c _ 1(N01) _ 1(N01)# _ 1(N01) _ GAL~a _ TUN3~b# _ 1(N01) _ 1(N57) _ TAK4~a _ TUN3~b _ 1(N01) _ 3(N57) _ TAK4~a _ TUN3~b _ 1(N01) _ NAGAR~a _ SZITA~a1 _ AN _ SZITA~a1 _ 1(N01) _ 1(N01)# _ 1(N57) _ TAK4~a _ 1(N01) _ 1(N01)# _ 1(N34) _ NI~a# _ SZA3~a2","N01 _ DUG~b _ N01 _ DUG~c _ N01 _ |DUG+ASZ~c| _ N01 _ UKKIN~b _ N01 _ MUD3~a _ N01 _ LAHTAN2 _ N01 _ KISIM~b _ N01 _ NI~b _ N01 _ IR~b _ N01 _ HI _ IR~b _ N01 _ MUSZEN _ N01 _ SU~a _ NI~b _ N01 _ N57 N57 N57 _ SU~a _ NI~b _ N01 _ |DUG~bxSZE~a| _ N01 _ N01 _ |DUG~bxKASKAL| _ N01 _ KASZ~b _ N01 _ |DUG~bxGESZTU~b| _ N01 _ N01 _ |DUG~bxNAGA~a| _ N01 _ N01 _ |DUG~bxX| _ N01 _ |DUG~bxX| _ N01 _ |DUG~bxX| _ N01 _ |DUG~bxX| _ N01 _ |DUG~bxX| _ N01 _ N01 _ |DUG~bxX| _ N01 _ |DUG~bxX| _ N01 _ |DUG~bxX| _ N01 _ |DUG~bxGISZ| _ N01 _ GISZ _ |DUG~bxGISZ| _ N01 _ LA2 _ ERIM~b2 _ |DUG~bxX| _ N01 _ SIG2~d1 _ N01 _ U4 _ SIG2~d1 _ N01 _ N01 _ SIG2~d1 _ N01 _ NI~b _ SIG2~d1 _ N01 _ KU6~a _ SIG2~d1 _ N01 _ SIG2~d1 _ N01 _ SI _ SIG2~d1 _ N01 _ SIG2~d1 _ N01 _ SAG _ SIG2~d1 _ EZEN~a _ SIG2~d1 _ N01 _ N01 _ N01 _ MUD3~c _ N01 _ N01 _ N01 _ GAL~a _ TUN3~b _ N01 _ N57 _ TAK4~a _ TUN3~b _ N01 _ N57 N57 N57 _ TAK4~a _ TUN3~b _ N01 _ NAGAR~a _ SZITA~a1 _ AN _ SZITA~a1 _ N01 _ N01 _ N57 _ TAK4~a _ N01 _ N01 _ N34 _ NI~a _ SZA3~a2",130,3.66490430070994,3.06504266559896,0.307692307692308,"0.116279069767442"
