"tablet.id","signs.orig.vec","signs.expand.vec","num.tokens","num.types","huni.chars","hrate.chars","ttr.chars","rm.chars"
"P000003","1(N01) _ NI~b# _ 1(N01) _ |NI~bxX| _ 1(N01) _ IR~a# _ 1(N01) _ BIR~a _ 1(N01) _ BIR~c _ 1(N01) _ 1(N01) _ SZU2# _ 1(N01) _ 1(N57) _ 1(N01) _ ME~a _ 1(N01) _ ME~b _ 1(N01) _ NU@g# _ 1(N01) _ 1(N01) _ DUR2 _ 1(N01) _ DIB _ 1(N01) _ |LAGAB~axME~a| _ 1(N01) _ |LAGAB~axZATU753| _ 1(N01) _ 1(N01) _ |GA2~a1xX|# _ 1(N01) _ 1(N01) _ 1(N01) _ |GA2~a1xGISZ@t| _ SUKKAL _ 1(N01) _ 1(N01) _ UNUG~a@s _ 1(N01) _ NAM2 _ 1(N01)","N01 _ NI~b _ N01 _ |NI~bxX| _ N01 _ IR~a _ N01 _ BIR~a _ N01 _ BIR~c _ N01 _ N01 _ SZU2 _ N01 _ N57 _ N01 _ ME~a _ N01 _ ME~b _ N01 _ NU@g _ N01 _ N01 _ DUR2 _ N01 _ DIB _ N01 _ |LAGAB~axME~a| _ N01 _ |LAGAB~axZATU753| _ N01 _ N01 _ |GA2~a1xX| _ N01 _ N01 _ N01 _ |GA2~a1xGISZ@t| _ SUKKAL _ N01 _ N01 _ UNUG~a@s _ N01 _ NAM2 _ N01",44,20,2.8208769653562,2.84109676292422,0.454545454545455,0.25
"P000004","1(N01) _ |SZE~a.NAM2|# _ 1(N01) _ 1(N01) _ 1(N01)","N01 _ |SZE~a.NAM2| _ N01 _ N01 _ N01",5,2,0.721928094887362,0.790689059560852,0.4,0.666666666666667
"P000005","1(N01) _ ESZDA# _ 1(N01) _ KAB _ 1(N01) _ 1(N01) _ EN~b _ 1(N01) _ NUN~a _ 1(N01) _ DU6~c _ 1(N01) _ SZITA~a1 _ 1(N01) _ 1(N01) _ 1(N01)","N01 _ ESZDA _ N01 _ KAB _ N01 _ N01 _ EN~b _ N01 _ NUN~a _ N01 _ DU6~c _ N01 _ SZITA~a1 _ N01 _ N01 _ N01",16,7,1.9237949406954,1.80674614242517,0.4375,0.333333333333333
"P000006","1(N01) _ 1(N01) _ 1(N01) _ KAB _ NAM2 _ 1(N01) _ NAM2 _ NAM2 _ 1(N01) _ NAM2 _ URU~a1 _ 1(N01) _ NAM2 _ DI# _ 1(N01) _ NAM2 _ ERIN _ 1(N01) _ NAM2 _ 1(N01) _ AB~a# _ 1(N01) _ SZITA~a1# _ 1(N01) _ TE _ 1(N01) _ KINGAL _ 1(N01) _ UKKIN~a _ GESZTU~b _ 1(N01) _ UKKIN~a _ NUN~a _ 1(N01) _ GA~a _ GAL~b _ 1(N01) _ GA~a _ GESZTU~b _ 1(N01) _ GA~a _ NUN~a _ 1(N01) _ UMUN2# _ 1(N01) _ ZATU693 _ EN~a _ 1(N01) _ ZATU693 _ UKKIN~a _ 1(N01) _ ZATU693 _ NAGA~b _ 1(N01) _ SUKKAL# _ USZ~a# _ 1(N01) _ 1(N01) _ KASZ~b _ 1(N01) _ ISZ~a _ 1(N01) _ NIM~a _ 1(N01) _ 1(N01) _ |GURUSZ~ax2(N14)| _ 1(N01) _ SZITA~a1 _ 1(N01) _ KISAL~b1# _ NUN~a _ 1(N01) _ KISAL~b1 _ GESZTU~b _ 1(N01) _ UMUN2 _ 1(N01) _ 1(N01) _ SUHUR# _ 1(N01) _ NESAG2~a# _ 1(N01) _ TUR3~a _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ SUHUR _ 1(N01) _ 1(N01) _ 1(N01) _ KISAL~b1# _ 1(N01) _ 1(N01) _ GIR3~a# _ 1(N01) _ 1(N01) _ ZATU736~b _ 1(N01) _ DA~b _ 1(N01) _ PA~a _ GIR3~a _ 1(N01) _ SZEG9 _ 1(N01) _ GI _ 1(N01) _ 1(N01) _ |AB2x2(N14)| _ 1(N01) _ DARA3~c _ 1(N01) _ DIN _ 1(N01) _ GURUSZDA# _ 1(N01) _ RAD~b _ 1(N01) _ PA~a _ RAD~b _ 1(N01) _ ADAB _ 1(N01) _ NIR~b _ 1(N01) _ BU~a _ 1(N01) _ 1(N01) _ SZUM _ PA~a _ 1(N01) _ ZATU693 _ 1(N01) _ UTUL~b _ 1(N01) _ |USZ~b&USZ~b|","N01 _ N01 _ N01 _ KAB _ NAM2 _ N01 _ NAM2 _ NAM2 _ N01 _ NAM2 _ URU~a1 _ N01 _ NAM2 _ DI _ N01 _ NAM2 _ ERIN _ N01 _ NAM2 _ N01 _ AB~a _ N01 _ SZITA~a1 _ N01 _ TE _ N01 _ KINGAL _ N01 _ UKKIN~a _ GESZTU~b _ N01 _ UKKIN~a _ NUN~a _ N01 _ GA~a _ GAL~b _ N01 _ GA~a _ GESZTU~b _ N01 _ GA~a _ NUN~a _ N01 _ UMUN2 _ N01 _ ZATU693 _ EN~a _ N01 _ ZATU693 _ UKKIN~a _ N01 _ ZATU693 _ NAGA~b _ N01 _ SUKKAL _ USZ~a _ N01 _ N01 _ KASZ~b _ N01 _ ISZ~a _ N01 _ NIM~a _ N01 _ N01 _ |GURUSZ~ax2(N14)| _ N01 _ SZITA~a1 _ N01 _ KISAL~b1 _ NUN~a _ N01 _ KISAL~b1 _ GESZTU~b _ N01 _ UMUN2 _ N01 _ N01 _ SUHUR _ N01 _ NESAG2~a _ N01 _ TUR3~a _ N01 _ N01 _ N01 _ N01 _ N01 _ SUHUR _ N01 _ N01 _ N01 _ KISAL~b1 _ N01 _ N01 _ GIR3~a _ N01 _ N01 _ ZATU736~b _ N01 _ DA~b _ N01 _ PA~a _ GIR3~a _ N01 _ SZEG9 _ N01 _ GI _ N01 _ N01 _ |AB2x2(N14)| _ N01 _ DARA3~c _ N01 _ DIN _ N01 _ GURUSZDA _ N01 _ RAD~b _ N01 _ PA~a _ RAD~b _ N01 _ ADAB _ N01 _ NIR~b _ N01 _ BU~a _ N01 _ N01 _ SZUM _ PA~a _ N01 _ ZATU693 _ N01 _ UTUL~b _ N01 _ |USZ~b&USZ~b|",138,46,3.68382311454589,3.4699059074127,0.333333333333333,0.173913043478261
"P000007","1(N01) _ 1(N01) _ |SZE~a.NAM2| _ 1(N01) _ PAP~b _ 1(N01) _ |1(N58).BAD~b| _ 1(N01) _ AB~a _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ TE _ 1(N01) _ GA~a _ 1(N01) _ 1(N01) _ NIM~a _ 1(N01) _ NIM~a#","N01 _ N01 _ |SZE~a.NAM2| _ N01 _ PAP~b _ N01 _ |1(N58).BAD~b| _ N01 _ AB~a _ N01 _ N01 _ N01 _ N01 _ N01 _ TE _ N01 _ GA~a _ N01 _ N01 _ NIM~a _ N01 _ NIM~a",22,8,1.94566030460064,1.92242235365851,0.363636363636364,0.428571428571429
"P000121","NUN~a _ U4 _ ZATU659 _ GAL~a _ IB~b _ IB~b _ KA~a# _ NAM2 _ RAD~a _ NAM2 _ UMUN2 _ ERIN _ NAM2 _ |1(N57).SZUBUR| _ ZATU766# _ DI _ NA~c _ A2","NUN~a _ U4 _ ZATU659 _ GAL~a _ IB~b _ IB~b _ KA~a _ NAM2 _ RAD~a _ NAM2 _ UMUN2 _ ERIN _ NAM2 _ |1(N57).SZUBUR| _ ZATU766 _ DI _ NA~c _ A2",18,15,3.79465347354434,2.65021461976114,0.833333333333333,0.333333333333333
"P000131","ZATU679# _ TAK4~a _ 1(N01) _ GU _ KU6~a _ 1(N01) _ 1(N01) _ AN _ NAGAR~a _ 1(N01) _ ME~a _ NAGAR~a _ 1(N01)# _ 1(N01) _ GA'AR~b1","ZATU679 _ TAK4~a _ N01 _ GU _ KU6~a _ N01 _ N01 _ AN _ NAGAR~a _ N01 _ ME~a _ NAGAR~a _ N01 _ N01 _ GA'AR~b1",15,9,2.73957226198672,1.9421603624964,0.6,0.333333333333333
"P000448","1(N01) _ 1(N01) _ ERIN _ NAM2 _ 1(N01) _ NAM2 _ NAM2 _ 1(N01) _ KISAL~a1# _ 1(N01) _ AD~b# _ 1(N01) _ |SZE~a.NAM2|# _ 1(N01) _ TE# _ 1(N01) _ SANGA~a _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ NESAG2~b _ 1(N01) _ SUKKAL _ 1(N01) _ NE~d _ 1(N01) _ UMUN2 _ 1(N01) _ KIB _ 1(N01) _ LAGAR~b2 _ LAGAR~b2 _ 1(N01) _ LAGAR~b2 _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ AB2# _ 1(N01) _ NESAG2~b# _ 1(N01) _ NIMGIR# _ 1(N01)","N01 _ N01 _ ERIN _ NAM2 _ N01 _ NAM2 _ NAM2 _ N01 _ KISAL~a1 _ N01 _ AD~b _ N01 _ |SZE~a.NAM2| _ N01 _ TE _ N01 _ SANGA~a _ N01 _ N01 _ N01 _ N01 _ NESAG2~b _ N01 _ SUKKAL _ N01 _ NE~d _ N01 _ UMUN2 _ N01 _ KIB _ N01 _ LAGAR~b2 _ LAGAR~b2 _ N01 _ LAGAR~b2 _ N01 _ N01 _ N01 _ N01 _ N01 _ AB2 _ N01 _ NESAG2~b _ N01 _ NIMGIR _ N01",46,16,2.6165791804919,2.49262338912679,0.347826086956522,0.333333333333333
"P000493","1(N01) _ NI~a _ 1(N01) _ DUG~b _ 1(N01) _ DUG~c _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ SU~a _ NI~b# _ X# _ 1(N01) _ GAN~a _ 1(N01) _ |DUG~bxSZE~a| _ 1(N01) _ 1(N01) _ 1(N01) _ ZATU632~a _ 1(N01) _ SZEN~b _ 1(N01) _ 1(N01) _ DUG~a _ 1(N01) _ EZEN~a _ 1(N01) _ DU _ KAK~a _ 1(N01)# _ 1(N01) _ 1(N01) _ KUSZU2~e _ 1(N01) _ 1(N01) _ 1(N01) _ KU3~a","N01 _ NI~a _ N01 _ DUG~b _ N01 _ DUG~c _ N01 _ N01 _ N01 _ N01 _ N01 _ N01 _ N01 _ SU~a _ NI~b _ X _ N01 _ GAN~a _ N01 _ |DUG~bxSZE~a| _ N01 _ N01 _ N01 _ ZATU632~a _ N01 _ SZEN~b _ N01 _ N01 _ DUG~a _ N01 _ EZEN~a _ N01 _ DU _ KAK~a _ N01 _ N01 _ N01 _ KUSZU2~e _ N01 _ N01 _ N01 _ KU3~a",42,17,2.48252140678666,2.57089425430572,0.404761904761905,0.52
"P000495","1(N01) _ 1(N01) _ KISIM~a# _ 1(N01) _ TUG2~a# _ 1(N01) _ 1(N01)","N01 _ N01 _ KISIM~a _ N01 _ TUG2~a _ N01 _ N01",7,3,1.14883485428092,1.09603174622062,0.428571428571429,0.5
