"tablet.id","signs.orig.vec","signs.expand.vec","num.char","huni.chars","hrate.chars","ttr.chars","rm.chars"
"P000753","1(N14) _ 9(N01)# _ 5(N01) _ 3(N01)# _ 1(N01) _ 6(N01) _ 5(N01)","N14 _ N01 N01 N01 N01 N01 N01 N01 N01 N01 _ N01 N01 N01 N01 N01 _ N01 N01 N01 _ N01 _ N01 N01 N01 N01 N01 N01 _ N01 N01 N01 N01 N01",36,0.210842300318532,0.596263750838651,0.0666666666666667,0.96551724137931
"P000754","2(N01)# _ 2(N01)# _ 2(N01) _ 1(N01)#","N01 N01 _ N01 N01 _ N01 N01 _ N01",10,0,0.624876355033059,0.142857142857143,1
"P000755","4(N14)# _ 4(N01)#","N14 N14 N14 N14 _ N01 N01 N01 N01",9,1,1.00981439410511,0.25,0.857142857142857
"P000793","4(N01) _ 1(N01)","N01 N01 N01 N01 _ N01",6,0,0.571190309536813,0.2,1
"P000795","3(N01)","N01 N01 N01",3,0,0.430827083453526,0.333333333333333,1
"P000796","5(N01)# _ 5(N01)# _ 1(N01)# _ 2(N01)#","N01 N01 N01 N01 N01 _ N01 N01 N01 N01 N01 _ N01 _ N01 N01",16,0,0.642763644942206,0.0769230769230769,1
"P000797","2(N14)#","N14 N14",2,0,0.25,0.5,1
"P000798","2(N01)","N01 N01",2,0,0.25,0.5,1
"P000799","2(N01)#","N01 N01",2,0,0.25,0.5,1
"P000800","2(N01)# _ 1(N01)#","N01 N01 _ N01",4,0,0.430827083453526,0.333333333333333,1
"P000801","4(N01)#","N01 N01 N01 N01",4,0,0.50708020839343,0.25,1
"P000803","2(N01)# _ 3(N01)","N01 N01 _ N01 N01 N01",6,0,0.571190309536813,0.2,1
"P000842","2(N14)# _ 5(N01)#","N14 N14 _ N01 N01 N01 N01 N01",8,0.863120568566631,0.874895737183733,0.285714285714286,0.833333333333333
"P000843","3(N01)#","N01 N01 N01",3,0,0.430827083453526,0.333333333333333,1
"P000845","2(N01)","N01 N01",2,0,0.25,0.5,1
"P000847","3(N01)# _ 2(N01)","N01 N01 N01 _ N01 N01",6,0,0.571190309536813,0.2,1
"P000852","1(N34)# _ 1(N14)# _ 4(N01)# _ UDU~a _ 9(N01)# _ UDU~a#","N34 _ N14 _ N01 N01 N01 N01 _ UDU~a _ N01 N01 N01 N01 N01 N01 N01 N01 N01 _ UDU~a",22,1.14006776267186,1.02929544048246,0.235294117647059,0.6875
"P000899","1(N34)# _ 4(N14) _ 3(N01)#","N34 _ N14 N14 N14 N14 _ N01 N01 N01",10,1.40563906222957,1.13859399077761,0.375,0.714285714285714
"P000901","2(N01)","N01 N01",2,0,0.25,0.5,1
"P000902","2(N34) _ 5(N01)#","N34 N34 _ N01 N01 N01 N01 N01",8,0.863120568566631,0.874895737183733,0.285714285714286,0.833333333333333
"P000904","2(N01)#","N01 N01",2,0,0.25,0.5,1
"P000905","1(N34)# _ 2(N14)# _ 2(N01)#","N34 _ N14 N14 _ N01 N01",7,1.52192809488736,0.990689059560852,0.6,0.5
"P000906","2(N34)# _ 2(N14)# _ 3(N01)","N34 N34 _ N14 N14 _ N01 N01 N01",9,1.55665670746282,1.15757847242827,0.428571428571429,0.666666666666667
"P000913","1(N14) _ 2(N01)#","N14 _ N01 N01",4,0.918295834054489,0.597493750120193,0.666666666666667,0.5
"P000918","1(N14) _ 2(N01)","N14 _ N01 N01",4,0.918295834054489,0.597493750120193,0.666666666666667,0.5
"P000929","7(N01)","N01 N01 N01 N01 N01 N01 N01",7,0,0.624876355033059,0.142857142857143,1
"P000932","4(N01)#","N01 N01 N01 N01",4,0,0.50708020839343,0.25,1
"P000940","2(N14)#","N14 N14",2,0,0.25,0.5,1
"P000941","1(N14)# _ 3(N01)#","N14 _ N01 N01 N01",5,0.811278124459133,0.698120312590145,0.5,0.666666666666667
"P000942","5(N01)# _ 2(N01)#","N01 N01 N01 N01 N01 _ N01 N01",8,0,0.624876355033059,0.142857142857143,1
"P000944","3(N01) _ 2(N01)","N01 N01 N01 _ N01 N01",6,0,0.571190309536813,0.2,1
"P000949","1(N14)# _ 2(N01)#","N14 _ N01 N01",4,0.918295834054489,0.597493750120193,0.666666666666667,0.5
"P000952","1(N14)# _ 3(N01)# _ 4(N01)# _ 1(N01)","N14 _ N01 N01 N01 _ N01 N01 N01 N01 _ N01",12,0.503258334775646,0.760380408014319,0.222222222222222,0.875
"P000954","1(N14)# _ 2(N01)#","N14 _ N01 N01",4,0.918295834054489,0.597493750120193,0.666666666666667,0.5
"P000957","5(N23)#","N23 N23 N23 N23 N23",5,0,0.571190309536813,0.2,1
"P000970","4(N01)# _ 4(N01)#","N01 N01 N01 N01 _ N01 N01 N01 N01",9,0,0.634341506468835,0.125,1
"P000971","3(N01)# _ 2(N01) _ 2(N01)# _ 2(N01) _ 4(N01)#","N01 N01 N01 _ N01 N01 _ N01 N01 _ N01 N01 _ N01 N01 N01 N01",17,0,0.642763644942206,0.0769230769230769,1
"P000972","4(N01) _ 2(N01) _ 7(N01)# _ 2(N01)# _ 2(N01)# _ 2(N01)#","N01 N01 N01 N01 _ N01 N01 _ N01 N01 N01 N01 N01 N01 N01 _ N01 N01 _ N01 N01 _ N01 N01",24,0,0.611667314589297,0.0526315789473684,1
"P000973","4(N01)# _ 5(N01)#","N01 N01 N01 N01 _ N01 N01 N01 N01 N01",10,0,0.644055575992331,0.111111111111111,1
"P000974","1(N14) _ 5(N01)#","N14 _ N01 N01 N01 N01 N01",7,0.650022421648354,0.754267533169491,0.333333333333333,0.8
"P000975","3(N01)# _ 2(N01) _ 1(N01)#","N01 N01 N01 _ N01 N01 _ N01",8,0,0.599129685927236,0.166666666666667,1
"P000976","2(N01)#","N01 N01",2,0,0.25,0.5,1
"P000987","8(N01) _ 1(N01) _ 2(N01) _ 6(N01)# _ 2(N14) _ 2(N01)","N01 N01 N01 N01 N01 N01 N01 N01 _ N01 _ N01 N01 _ N01 N01 N01 N01 N01 N01 _ N14 N14 _ N01 N01",26,0.453716339186945,0.977531248116035,0.0952380952380952,0.9
"P001225","6(N01)# _ 7(N01) _ 5(N01) _ 2(N01)","N01 N01 N01 N01 N01 N01 _ N01 N01 N01 N01 N01 N01 N01 _ N01 N01 N01 N01 N01 _ N01 N01",23,0,0.605288395184871,0.05,1
"P001311","3(N01)","N01 N01 N01",3,0,0.430827083453526,0.333333333333333,1
"P001546","1(N14)# _ 6(N01)#","N14 _ N01 N01 N01 N01 N01 N01",8,0.591672778582327,0.757851652669277,0.285714285714286,0.833333333333333
"P001548","2(N01)#","N01 N01",2,0,0.25,0.5,1
"P001690","3(N01)#","N01 N01 N01",3,0,0.430827083453526,0.333333333333333,1
"P005067","3(N14) _ 3(N01)","N14 N14 N14 _ N01 N01 N01",7,1,0.95765442469414,0.333333333333333,0.8
"P005303","8(N01)#","N01 N01 N01 N01 N01 N01 N01 N01",8,0,0.634341506468835,0.125,1
"P005304","5(N14) _ 3(N14)","N14 N14 N14 N14 N14 _ N14 N14 N14",9,0,0.634341506468835,0.125,1
"P008560","6(N14) _ 4(N14) _ 6(N14)","N14 N14 N14 N14 N14 N14 _ N14 N14 N14 N14 _ N14 N14 N14 N14 N14 N14",18,0,0.628310059154982,0.0625,1
"P008673","2(N14) _ 5(N14) _ 9(N14)# _ 9(N14)","N14 N14 _ N14 N14 N14 N14 N14 _ N14 N14 N14 N14 N14 N14 N14 N14 N14 _ N14 N14 N14 N14 N14 N14 N14 N14 N14",28,0,0.575580960342745,0.04,1
"P009447","2(N14) _ 3(N01)","N14 N14 _ N01 N01 N01",6,0.970950594454669,0.849185309632967,0.4,0.75
"P009448","3(N14) _ 3(N01)","N14 N14 N14 _ N01 N01 N01",7,1,0.95765442469414,0.333333333333333,0.8
"P009449","4(N14) _ 4(N01)","N14 N14 N14 N14 _ N01 N01 N01 N01",9,1,1.00981439410511,0.25,0.857142857142857
"P009450","5(N14) _ 3(N01)","N14 N14 N14 N14 N14 _ N01 N01 N01",9,0.954434002924965,1.04307393867925,0.25,0.857142857142857
"P009451","4(N01) _ 1(N14) _ 4(N39~b) _ 1(N24)","N01 N01 N01 N01 _ N14 _ N39~b N39~b N39~b N39~b _ N24",13,1.72192809488736,1.42457794858196,0.4,0.666666666666667
"P009452","1(N14) _ 4(N01) _ 1(N14) _ 3(N01)","N14 _ N01 N01 N01 N01 _ N14 _ N01 N01 N01",12,0.76420450650862,0.824878410650079,0.222222222222222,0.625
"P009453","2(N14) _ 3(N01) _ 9(N14)","N14 N14 _ N01 N01 N01 _ N14 N14 N14 N14 N14 N14 N14 N14 N14",16,0.74959525725948,0.944679776743766,0.142857142857143,0.846153846153846
"P009455","M009# _ 4(N01)","M009 _ N01 N01 N01 N01",6,0.721928094887362,0.724022392894185,0.4,0.75
"P235754","2(N34) _ 7(N14) _ 5(N01)#","N34 N34 _ N14 N14 N14 N14 N14 N14 N14 _ N01 N01 N01 N01 N01",16,1.43156028428332,1.22684065430631,0.214285714285714,0.846153846153846
"P235755","10(N14) _ 3(N01)","N14 N14 N14 N14 N14 N14 N14 N14 N14 N14 _ N01 N01 N01",14,0.779349837292085,1.04267253562121,0.153846153846154,0.916666666666667
"P235756","2(N45) _ 4(N14)","N45 N45 _ N14 N14 N14 N14",7,0.918295834054489,0.858569963785142,0.333333333333333,0.8
"P235757","1(N45) _ 7(N14)","N45 _ N14 N14 N14 N14 N14 N14 N14",9,0.543564443199596,0.765206942493572,0.25,0.857142857142857
"P235759","3(N34)# _ 22(N14) _ 5(N01)#","N34 N34 N34 _ N14 N14 N14 N14 N14 N14 N14 N14 N14 N14 N14 N14 N14 N14 N14 N14 N14 N14 N14 N14 N14 N14 _ N01 N01 N01 N01 N01",32,1.09115647605449,1.04115408681985,0.1,0.931034482758621
"P235760","10(N14)","N14 N14 N14 N14 N14 N14 N14 N14 N14 N14",10,0,0.645261023500736,0.1,1
"P235761","5(N14) _ 5(N01)","N14 N14 N14 N14 N14 _ N01 N01 N01 N01 N01",11,1,1.05621972240251,0.2,0.888888888888889
"P235762","5(N01)","N01 N01 N01 N01 N01",5,0,0.571190309536813,0.2,1
"P235763","4(N01)","N01 N01 N01 N01",4,0,0.50708020839343,0.25,1
"P235766","3(N01)","N01 N01 N01",3,0,0.430827083453526,0.333333333333333,1
"P235767","11(N14) _ 3(N01)","N14 N14 N14 N14 N14 N14 N14 N14 N14 N14 N14 _ N01 N01 N01",15,0.74959525725948,1.03284230489118,0.142857142857143,0.923076923076923
"P235768","1(N14) _ 5(N01)","N14 _ N01 N01 N01 N01 N01",7,0.650022421648354,0.754267533169491,0.333333333333333,0.8
"P235769","3(N14)#","N14 N14 N14",3,0,0.430827083453526,0.333333333333333,1
"P235770","1(N14) _ 4(N01) _ 3(N01)","N14 _ N01 N01 N01 N01 _ N01 N01 N01",10,0.543564443199596,0.765206942493572,0.25,0.857142857142857
"P249252","5(N14)","N14 N14 N14 N14 N14",5,0,0.571190309536813,0.2,1
"P252149","8(N01) _ 9(N01)","N01 N01 N01 N01 N01 N01 N01 N01 _ N01 N01 N01 N01 N01 N01 N01 N01 N01",18,0,0.623380355446321,0.0588235294117647,1
"P252150","2(N14) _ 4(N14) _ 2(N01) _ 2(N14)","N14 N14 _ N14 N14 N14 N14 _ N01 N01 _ N14 N14",13,0.721928094887362,1.06197387522121,0.2,0.777777777777778
"P252151","3(N34) _ 5(N14)","N34 N34 N34 _ N14 N14 N14 N14 N14",9,0.954434002924965,0.968860554841314,0.25,0.857142857142857
