"subcorpus","sequence","num.char","huni.chars","hrate.chars","ttr.chars","rm.chars"
"Aurignacien","vvvvvvvvvvvvvvvvvv",18,0,0.617139676331194,0.0555555555555556,1
"Aurignacien","||| ////// _ V",12,1.89624062518029,1.52955628363144,0.416666666666667,0.636363636363636
"Aurignacien","vvvvv",5,0,0.571190309536813,0.2,1
"Aurignacien","vvvv vvvv",9,0.503258334775646,0.906004739982319,0.222222222222222,0.75
"Aurignacien","vvvvvvvvvvvvvv",14,0,0.637954976171292,0.0714285714285714,1
"Aurignacien","|||",3,0,0.430827083453526,0.333333333333333,1
"Aurignacien","||||",4,0,0.50708020839343,0.25,1
"Aurignacien","vvvvvv",6,0,0.599129685927236,0.166666666666667,1
"Aurignacien","vvvvvvvv",8,0,0.634341506468835,0.125,1
"Aurignacien","vvvv",4,0,0.50708020839343,0.25,1
"Aurignacien","vvvvvv",6,0,0.599129685927236,0.166666666666667,1
"Aurignacien","||||||| _ ¤¤¤¤¤¤¤¤¤ _ // _ ¤¤¤¤¤¤¤¤¤ _ ||| _ V",36,1.78415912785142,1.39892970723939,0.138888888888889,0.714285714285714
"Aurignacien","||||| _ ¤¤¤¤¤¤¤¤¤¤¤¤¤¤¤ _ ///// _ ||||| _ ¤¤¤¤¤¤¤ _ ||| |||| _ || _ | | || | | | _ lllll | | _ //// _ /// ¤¤¤¤",90,2.34524013039383,1.56626928055031,0.0666666666666667,0.573033707865168
"Aurignacien","vvvvvvvv",8,0,0.634341506468835,0.125,1
"Aurignacien","vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv",79,0.0979405827181741,0.573960494119317,0.0253164556962025,0.974358974358974
"Aurignacien","vvvvvvvv _ vvvvvvvvv",18,0.309543429150325,0.879904633950831,0.111111111111111,0.882352941176471
"Aurignacien","v vv vv",7,0.863120568566631,0.734042128859753,0.285714285714286,0.333333333333333
"Aurignacien","v v v vv vv _ v v vv",18,1.19417373425691,1.07762731722105,0.166666666666667,0.176470588235294
"Aurignacien","vvvvvvvv",8,0,0.634341506468835,0.125,1
"Aurignacien","vvvvv",5,0,0.571190309536813,0.2,1
"Aurignacien","vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv",113,0.0730661193138456,0.463709305887537,0.0176991150442478,0.982142857142857
"Aurignacien","OOOOO",5,0,0.571190309536813,0.2,1
"Aurignacien","vvvvvvvvvvvvvvvvvvv",19,0,0.611667314589297,0.0526315789473684,1
"Aurignacien","vvvv",4,0,0.50708020839343,0.25,1
"Aurignacien","vvvvvvvvvvvvv _ vvvvvvvvvvvvv _ vvvvvvv _ vvvvvv _ >>>>\\\  _ >>> _  ^^^^ _ °°°°°°°°°°°°° _ °°°°°°°°°° _ °°°°°°°°°°°° _ °°°°°°°°°°°°°",113,2.02518303785162,1.24929666458918,0.0619469026548673,0.794642857142857
"Aurignacien","| ||||| | _ | | | || || | | | | |",31,1.1230875826308,1.01257509923345,0.0967741935483871,0.2
"Aurignacien","|||| _ –XXXX _ ¤¤¤¤¤¤¤¤¤ _ vvvvvvvvvvvvv _ ////////////",47,2.49810818449745,1.61142482497776,0.148936170212766,0.804347826086957
"Aurignacien","vvvvvvvvvvv",11,0,0.647357495241454,0.0909090909090909,1
"Aurignacien","||",2,0,0.25,0.5,1
"Aurignacien","v vvv v v _ vvv v",15,1.15893853235028,1.08563898255922,0.2,0.285714285714286
"Aurignacien","| _ |",3,0.918295834054489,0.597493750120193,0.666666666666667,0
"Aurignacien","XXX _ || _ v _ v",10,1.97095059445467,1.40281737712284,0.4,0.333333333333333
"Aurignacien","vvvvv _ >> _ ||||CC _ ¤¤¤¤¤¤¤¤¤¤¤¤ _ ||||",33,2.29805501381025,1.58190385910883,0.181818181818182,0.71875
"Aurignacien","||| X V\\ / \\/ \\ ≠ _ °°°°°°°",28,2.75642913758544,1.92696134911343,0.321428571428571,0.407407407407407
"Aurignacien","vvvvv",5,0,0.571190309536813,0.2,1
"Aurignacien","vvvvvvvvvvvv",12,0,0.644556365533815,0.0833333333333333,1
"Aurignacien","l llXl ll| |  XX| |  ≠≠≠ ≠≠ llll _ | | | | | | | | | | l _  ll ll ll ll",67,2.14941427018699,1.47310513300266,0.0895522388059701,0.227272727272727
"Aurignacien","OO",2,0,0.25,0.5,1
"Aurignacien","|| |||",6,0.650022421648354,0.803014408229587,0.333333333333333,0.6
"Aurignacien","OO",2,0,0.25,0.5,1
"Aurignacien","≠ ≠ ≠",5,0.970950594454669,0.671190309536813,0.4,0
