"object_id","ensemble_id","archaeological_period","archaeological_unit","site_name","site_id","location","country","latitude","longitude","coord_precision","coord_reference","layer","dating_method","date_bp_min","min_lab_number","date_bp_max","max_lab_number","excavation_year","material","material_species","object_type","associated_species","length_mm","width_mm","depth_mm","preservation","collection","collection_id","sign_coding","coding_certainty","coding_clean","coding_random","num.tokens","num.types","huni.chars","hrate.chars","hrate.chars.random","ttr.chars","rm.chars"
"bst0001",NA,"Upper Paleolithic","Aurignacian","Bockstein-Törle","bst","Rammingen","Germany",48.553,10.155,"precise","nespos.org","VI","C14","31530±230 - 20400±220","","","","1953-1956","slate","","personal ornament","",21,20,5,"almost complete","Museum Ulm","","!vvvvvvvvvvvvvvvvvv!","very certain","vvvvvvvvvvvvvvvvvv","vvvvvvvvvvvvvvvvvv",18,1,0,0.617139676331194,0.617139676331194,0.0555555555555556,1
"gkl0001",NA,"Upper Paleolithic","Aurignacian","Geissenklösterle","gkl","Blaubeuren-Weiler","Germany",48.398333,9.772222,"precise","wikipedia","II","C14","30625±796","H 4147-3346","33700±825","H 4751-4404","1976","ivory","Mammuthus primigenius","undetermined","",36,12,2,"fragmented","Universität Tübingen","Find No.: 15-239","||| //////! _ V","very certain","||| //////_V","V_||| //////",12,5,1.89624062518029,1.52955628363144,1.37258273208771,0.416666666666667,0.636363636363636
"gkl0002",NA,"Upper Paleolithic","Aurignacian","Geissenklösterle","gkl","Blaubeuren-Weiler","Germany",48.398333,9.772222,"precise","wikipedia","II","C14","30625±796","H 4147-3346","33700±825","H 4751-4404","1977","bone","undetermined","tube/flute","",21,6,2,"fragmented","Universität Tübingen","Find No.: 16-96.1","!vvvvv!","very certain","vvvvv","vvvvv",5,1,0,0.571190309536813,0.571190309536813,0.2,1
"gkl0003",NA,"Upper Paleolithic","Aurignacian","Geissenklösterle","gkl","Blaubeuren-Weiler","Germany",48.398333,9.772222,"precise","wikipedia","II","C14","30625±796","H 4147-3346","33700±825","H 4751-4404","1973 1990","bone","Cygnus cygnus","flute","",126,10,9,"almost complete","LMW Stuttgart","Find No.: 24-197","vvvv vvvv","very certain","vvvv vvvv","vvvv vvvv",9,2,0.503258334775646,0.906004739982319,0.906004739982319,0.222222222222222,0.75
"gkl0004",NA,"Upper Paleolithic","Aurignacian","Geissenklösterle","gkl","Blaubeuren-Weiler","Germany",48.398333,9.772222,"precise","wikipedia","II","C14","30625±796","H 4147-3346","33700±825","H 4751-4404","1975","bone","Corvus corax","tube","",76,13,9,"complete","URMU Blaubeuren","Find No.: 26-80","vvvvvvvvvvvvvv","very certain","vvvvvvvvvvvvvv","vvvvvvvvvvvvvv",14,1,0,0.637954976171292,0.637954976171292,0.0714285714285714,1
"gkl0005",NA,"Upper Paleolithic","Aurignacian","Geissenklösterle","gkl","Blaubeuren-Weiler","Germany",48.398333,9.772222,"precise","wikipedia","II","C14","30625±796","H 4147-3346","33700±825","H 4751-4404","1991","ivory","Mammuthus primigenius","undetermined","",11,3,2,"fragmented","Universität Tübingen","Find No.: 33-95","!|||!","certain","|||","|||",3,1,0,0.430827083453526,0.430827083453526,0.333333333333333,1
"gkl0006",NA,"Upper Paleolithic","Aurignacian","Geissenklösterle","gkl","Blaubeuren-Weiler","Germany",48.398333,9.772222,"precise","wikipedia","II","C14","30625±796","H 4147-3346","33700±825","H 4751-4404","","ivory","Mammuthus primigenius","personal ornament","",42,5,3,"fragmented","URMU Blaubeuren","Find No.: 34-303","||||","very certain","||||","||||",4,1,0,0.50708020839343,0.50708020839343,0.25,1
"gkl0007",NA,"Upper Paleolithic","Aurignacian","Geissenklösterle","gkl","Blaubeuren-Weiler","Germany",48.398333,9.772222,"precise","wikipedia","II","C14","30625±796","H 4147-3346","33700±825","H 4751-4404","1990","ivory","Mammuthus primigenius","possible flute","",20,8,3,"fragmented","Universität Tübingen","Find No.: 34-349","!vvvvvv!","certain","vvvvvv","vvvvvv",6,1,0,0.599129685927236,0.599129685927236,0.166666666666667,1
"gkl0008",NA,"Upper Paleolithic","Aurignacian","Geissenklösterle","gkl","Blaubeuren-Weiler","Germany",48.398333,9.772222,"precise","wikipedia","II","C14","30625±796","H 4147-3346","33700±825","H 4751-4404","1974","ivory","Mammuthus primigenius","possible flute","",20,3,2,"fragmented","Universität Tübingen","Find No.: 35-without No.","!vvvvvvvv!","very certain","vvvvvvvv","vvvvvvvv",8,1,0,0.634341506468835,0.634341506468835,0.125,1
"gkl0009",NA,"Upper Paleolithic","Aurignacian","Geissenklösterle","gkl","Blaubeuren-Weiler","Germany",48.398333,9.772222,"precise","wikipedia","II","C14","30625±796","H 4147-3346","33700±825","H 4751-4404","1974","ivory","Mammuthus primigenius","undetermined","",18,3,2,"fragmented","Universität Tübingen","Find No.: 37-155.1","!vvvv","certain","vvvv","vvvv",4,1,0,0.50708020839343,0.50708020839343,0.25,1
