"model.formula","df","res.df","f.statistic","p.value","aic"
"intercept",1,210,NA,NA,198.015139845256
"intercept + volume",2,205,23.9520299356608,1.99656743330761e-06,174.209583550482
"intercept + volume + date",3,201,14.1272516342035,1.81659160000425e-06,170.133954624677
"intercept + volume + date + object_type",8,196,9.73706292519893,2.16159398193307e-10,146.084241909304
"intercept + volume + date + object_type + site_name",10,194,7.79106665590543,8.97097391802078e-10,148.022685511454
"intercept + volume + date + object_type + preservation",10,194,8.47639758254194,1.17444726456481e-10,143.313454389364
"intercept + volume + date + object_type + material",11,193,7.07362954286781,1.90280346757263e-09,149.264690332214
"intercept + volume*preservation + date + object_type",12,192,7.18208136734962,3.38275261665104e-10,144.660272436707
"intercept + volume*object_type + date",13,191,6.3259516822045,2.17205117109692e-09,148.69837847918
"intercept + volume + date*object_type",13,191,6.23437067815253,3.06322643385351e-09,149.540055112339
